,id,vehicleType,make,model,modelType,color,colorType,driveType,accessories,price,totalOwners,kilometers,seats,doors,power,batteryCapacity,batteryGuaranteeMonth,batteryGuaranteeKm,electricRange,chargingType,chargingPower,maximumChargingPower
22,13724441,Car,Kia,EV6,,White,Not available,Rear wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Paper,Radio,USB,Bluetooth,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Rain Sensor,Multiactive Steering Wheel,Isofix-ready,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Lane departure warning system,Smartphone integration,Collision avoidance system,Blind spot sensor,Heated steering wheel",42800.0,,17000.0,5.0,4.0,125.0,58.0,,,394.0,,,
23,13725419,Car,Skoda,Enyaq,,Gray,Metallic,Rear wheel,"Central locking: Keyless,Two sets of tyres,Airconditioning: Automatic,Cruise control: Adaptive,Electric mirrors,Satellite navigator,Keyless start,Ski hatch,LED-headlights,Parking camera: Simple camera,Emergency brake assist",47360.0,,22000.0,5.0,5.0,150.0,0.0,,,,,,
24,13725431,Car,Toyota,bZ4X,,White,Not available,Four wheel,"Power windows,Cruise control: Adaptive,Parking sensors,Hands-free kit,Isofix-ready,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration",49890.0,,6763.0,5.0,4.0,160.0,0.0,,,,,,
25,13726334,Car,Nissan,Leaf,40 kWh N-Connecta LED,Blue,Metallic,Front wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Motor heater,ABS brakes,Airbag,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Isofix-ready,Curve lights,Auto hold,Keyless start,LED-headlights,Parking camera: 360-degree camera,Start-stop system,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",23500.0,,36700.0,5.0,5.0,110.0,0.0,,,,,,
26,13726788,Car,Opel,Corsa-e,,Other,Not available,Front wheel,"Power windows,Two sets of tyres,Airbag,Cruise control: Traditional,Seat heaters,Hands-free kit,Isofix-ready,Auto hold,LED-headlights,Sport seats,Tire-pressure monitoring system,Lane departure warning system,Emergency brake assist,Folding rear seats",31900.0,,3000.0,,5.0,,0.0,,,,,,
27,13727690,Car,Skoda,Enyaq,,White,Metallic,Four wheel,"Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Service manual: Electronic,Radio,Bluetooth,Cruise control: Adaptive,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Keyless start,Electrically operated tailgate,Parking Assistant,Parking camera: Simple camera,Plug-in charging for hybrid vehicles,Lane departure warning system,Blind spot sensor,Heated steering wheel,Folding rear seats",52700.0,,25000.0,5.0,5.0,,0.0,,,,Type 2,,
28,13729295,Car,Mercedes-Benz,EQB,,White,Not available,Four wheel,"Airconditioning: Automatic,Cruise control: Adaptive,Seat heaters,Multiactive Steering Wheel,Sunroof,Electrically operated tailgate,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system",56700.0,,7000.0,7.0,5.0,168.0,66.0,,,,,,
29,13729705,Car,Volkswagen,ID5,,White,Nonmetallic,Rear wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Sunroof,Isofix-ready,Keyless start,Heated windshield,LED-headlights,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Start-stop system,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Head-Up display,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",49980.0,,23000.0,5.0,5.0,150.0,82.0,,160000.0,527.0,CCS,135.0,135.0
30,13730023,Car,Audi,Q4 e-tron,,Other,Nonmetallic,Rear wheel,"Power steering,Central locking: Remote control,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Manual,ABS brakes,Airbag,Radio,USB,Bluetooth,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Isofix-ready,Auto hold,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Folding rear seats",43400.0,,20000.0,5.0,,125.0,0.0,,,,,,
31,13730614,Car,Hyundai,Ioniq 5,,Gray,Not available,Rear wheel,"Power windows,Two sets of tyres,Airconditioning: Automatic,Cruise control: Traditional,Seat heaters,Driving assistant,Rain Sensor,Isofix-ready,Parking camera: Simple camera,Tire-pressure monitoring system,Folding rear seats",46990.0,,25000.0,5.0,5.0,160.0,73.0,,,480.0,,,
